Description,TotalSalesDollars,ProfitMargin
Apimed Old Slavic Mead Dark,953.1,34.93862134088763
Apimed Old Slavic Mead Light,635.4,39.093484419263454
Apimed Slovak Mead,464.58,38.163502518403725
Apimed Trnava Mead,335.7,40.12511170688114
Apple Orchard Liqueur,2017.9800000000012,90.20902090209022
Aquilon 06 Garnacha de Borja,629.93,90.60213039544075
Aquinas Cab Svgn,3592.349999999996,90.4240956476958
Aquinas Napa Chard,643.5400000000001,85.31559809802033
Aquitania Cab Svgn,2526.4199999999955,7.556938276295957
Arabella Chard,131.88,33.75796178343949
Arca Nova Rose,263.76,31.028207461328485
Archetype Shiraz/Cab Barossa,142.89000000000001,26.76884316607181
Ardbeg Auriverdes Scotch,3959.5799999999963,82.6522004859101
Ardbeg Dark Cove Com Release,7259.339999999997,21.98299018919072
Aresti Pnt Nr Curico Vly,94.80999999999999,96.54044931969202
Argentiera Poggio Ginerpi Bo,227.88,32.43812532912059
Argiano Non Confunditur Rsso,263.87999999999994,35.4706684856753
Argiola Costera Isola dei N,149.85,45.945945945945944
Argiolas SerraLori Rose 13,503.4000000000002,33.778307508939236
Arindo Verdejo Rueda,708.3700000000002,63.713878340415334
Armand Kabinett Rsl,577.7000000000002,46.40817033062144
Armand de Brignac Brut Rose,9239.779999999997,51.83608267729317
Armorik Single Malt Whiskey,1199.8,96.24020670111686
Arnaldo Caprai Grecante Grec,1614.1500000000003,4.61852987640555
Arrogant Frog Chardonnay,239.76,67.51751751751752
Arrogant Frog Pnt Nr,2607.3900000000012,35.38596067331704
Arrow Apricot Brandy,575.28,24.280350438047552
Arrow Blackraspberry Liqueur,383.5200000000001,20.65081351689614
Arrow Blue Curacao,4554.299999999974,23.705509079331204
Arrow Creme de Strawberry,3835.1999999999753,34.85372340425489
Arrowood Cab Svgn Sonoma Vly,8667.009999999984,30.57594256842887
Arrowood Sonoma Est Cab Svgn,1766.96,26.603884638022375
Art of Eart Montepulciano d',2160.8900000000017,61.29650282985254
Artesa Elements Napa Red,744.3300000000003,2.8992516760039577
Asamai Shuzo Heavens Door,119.96,1.3171057019006323
Aska Bolgheri Rosso,434.85,28.876624123260903
Assyrtiko-Athiri Atlantis,191.88,33.771106941838646
Astraly Touraine Nobel Rose,89.94,31.02068045363576
Aszu Royal Tokaji 5 Puttony,9098.04999999998,19.63519655310736
Atalon Cab Svgn Napa,1589.4700000000003,55.902281892706384
